,MAE,MAPE,RMSE,RSQUARED
LR_PREDS,15.7574542364098,14.810648521866158,21.231093083735686,0.6751129220927891
FFILL_PREDS,20.298034398034396,22.208642544102762,27.753368434470428,0.44483876731567673
YR_MEAN_PREDS,26.51791475269736,23.585650084817566,33.047414797402425,0.21284055233441646
COUNTY_MEAN_PREDS,20.796915460584714,18.95576287686904,26.178858155062038,0.5060430172555416
EUC_PREDS,22.545108301950247,20.82976150680205,28.26482136030457,0.42418865266420736
HAV_PREDS,22.66653821590719,21.01969384580786,28.398916886375353,0.41871210035475936
EUC_EXP_SMOOTH_PREDS,11.736555632958472,11.150240096803847,15.456551167692629,0.8278080195563453
HAV_EXP_SMOOTH_PREDS,11.665787526300605,11.076934253844597,15.364043845632235,0.8298629865797018
K_NEAREST_ONE_PRED,10.977641277641277,11.29372677503778,15.257040103744655,0.8322245915513435
K5_NEAREST_MEAN_PRED,8.754176904176905,8.923226430904343,12.518971725794936,0.8870399056792337
KRAD_MEAN_PRED,11.177028616534546,10.926723214401717,14.79891046564429,0.8421490446986643
