,MAE,MAPE,RMSE,RSQUARED
LR_PREDS,12.687782855731626,14.776110285981037,20.372719390103665,0.6995727371119396
FFILL_PREDS,17.200000000000003,23.96491906359593,29.06807217888803,0.3883911032717259
YR_MEAN_PREDS,23.728260869565226,23.829759889684134,32.67056975526332,0.22739991579572527
COUNTY_MEAN_PREDS,17.772640982691254,19.142890898386156,27.17490705162023,0.46546337283119654
EUC_PREDS,13.903836068048825,15.56382270419584,22.611354993002127,0.6299209410240325
HAV_PREDS,13.55062842467187,15.533739029910837,22.595096678254304,0.6304529479437938
EUC_EXP_SMOOTH_PREDS,8.613190190366883,10.554894109239358,15.189208378646043,0.8330018674355656
HAV_EXP_SMOOTH_PREDS,8.366031375694376,10.500243975358304,15.088008486977678,0.835219743804166
K_NEAREST_ONE_PRED,8.0,10.951124114455748,14.909504523060205,0.8390956606347255
K5_NEAREST_MEAN_PRED,6.0,8.168153101851757,11.847021595728403,0.8984079568529328
K5_WEIGHTED_PRED,5.705754790666262,7.914987336127134,11.42626397258484,0.9054960762736218
KRAD_MEAN_PRED,7.8946428571428555,9.972133929287311,14.372490212100242,0.8504779036052175
