,fips_code,longitude,latitude
0,19107,-92.1786395804,41.336455359
1,19189,-93.7341238237,43.3775191301
2,20093,-101.319889764,38.0002516844
3,20123,-98.2093697883,39.3932664215
4,20187,-101.784216665,37.5630049847
5,21005,-84.9909921521,38.0039142206
6,21029,-85.6958602515,37.970073651
7,21049,-84.1474193506,37.9708211165
8,21059,-87.087230401,37.7318471293
9,21063,-83.0976171882,38.1178999335
10,21093,-85.9634470165,37.6979617886
11,21097,-84.3313566659,38.4418192938
12,21107,-87.5408362449,37.3088394013
13,21131,-83.381140519,37.0940596079
14,21147,-84.4842230294,36.7371212771
15,21151,-84.2780035139,37.7201824919
16,21155,-85.2696359473,37.5525356186
17,21175,-83.2588827617,37.9222828832
18,01001,-86.6427430252,32.5349218645
19,01003,-87.722570237,30.7274833337
20,01025,-87.8308088321,31.676676257
21,01049,-85.8041092143,34.4597996022
22,01057,-87.7388612311,33.7212239643
23,01073,-86.8964907994,33.5543134444
24,01097,-88.205808577,30.7872071753
25,01101,-86.2076187681,32.220263143
26,01131,-87.3081950354,31.9893043538
27,02090,-146.563653337,64.8079212283
28,02180,-164.028490785,64.9108132137
29,02240,-143.20678535,63.8769113067
30,04001,-109.488822568,35.395524866
31,04007,-110.811705477,33.7997472749
32,04012,-113.981295116,33.7292818135
33,04013,-112.491295322,33.3488074586
34,05015,-93.5382394663,36.3410184887
35,05019,-93.176366266,34.0509781779
36,05029,-92.7012961223,35.2622436945
37,05069,-91.9315128568,34.2687830882
38,05073,-93.6070546865,33.2409454036
39,05093,-90.0542036676,35.7638301597
40,05107,-90.8480578658,34.4282417182
41,05117,-91.5527831119,34.8297990258
42,05131,-94.2741781376,35.1996571156
43,05145,-91.7455522338,35.256278092
44,06007,-121.600681049,39.6669402117
45,06009,-120.554123072,38.2045977326
46,06011,-122.236959288,39.1774839235
47,06017,-120.524661541,38.7787338402
48,06019,-119.649305584,36.758196399
49,06023,-123.875629372,40.699297496
50,06033,-122.753189768,39.0996170788
51,06037,-118.224816783,34.3207494532
52,06045,-123.391472463,39.44022717
53,06053,-121.239203992,36.2171593819
54,06083,-120.016468898,34.6728804609
55,06097,-122.887409361,38.5282871439
56,06113,-121.901569667,38.6866047129
57,08023,-105.428235384,37.2781243204
58,08037,-106.695366445,39.6278455629
59,08043,-105.439660249,38.4729603496
60,08053,-107.300301909,37.8212848033
61,08057,-106.342790048,40.666445676
62,08067,-107.843329126,37.2865538658
63,08091,-107.769264899,38.155467848
64,08111,-107.676156553,37.7640284968
65,09009,-72.9320027094,41.4103115538
66,11001,-77.0162938384,38.9047339355
67,12009,-80.7322727558,28.293723525
68,12023,-82.6215395588,30.2242518121
69,12031,-81.6708429733,30.3315733487
70,12041,-82.8003854206,29.7258337944
71,12045,-85.226592192,29.9555338313
72,12071,-81.8337421238,26.577781831
73,12093,-80.8886240071,27.3864317801
74,12097,-81.1494757758,28.0626791455
75,12103,-82.7255974773,27.919608492
76,12105,-81.6975806695,27.9488821088
77,12107,-81.7443100202,29.6086504618
78,12121,-82.991491387,30.1956031367
79,12123,-83.6035327617,30.0469940422
80,12125,-82.3714329168,30.0438551337
81,13001,-82.2889116691,31.7492228122
82,13007,-84.4447024041,31.3261389462
83,13025,-81.9819047959,31.196875847
84,13029,-81.4436379988,32.0144705405
85,13051,-81.1328352247,32.0042154992
86,13139,-83.8196672752,34.3168966071
87,13143,-85.2110004578,33.7942251488
88,13153,-83.666227782,32.4590070483
89,13205,-84.194293605,31.2253190098
90,13209,-82.5347736873,32.1733935874
91,13215,-84.8770500239,32.510023316
92,13219,-83.4371035256,33.8349611125
93,13229,-82.2127639826,31.3587685295
94,13263,-84.5330090248,32.6995000392
95,13267,-82.0581278776,32.0457993979
96,13291,-83.990762122,34.8340781963
97,15009,-156.564846005,20.8596398958
98,16003,-116.453824967,44.8895919688
99,16005,-112.224614642,42.6684926206
100,16013,-113.98016394,43.4119479172
101,16023,-113.17203595,43.7228774572
102,16025,-114.805767293,43.463329281
103,16031,-113.600125791,42.2838324898
104,16035,-115.656307592,46.6736093906
105,16041,-111.813212792,42.1811548233
106,16043,-111.482021823,44.2288555368
107,16049,-115.467499659,45.8440261816
108,16061,-116.426280606,46.2370173832
109,17003,-89.3375613965,37.1915178044
110,17017,-90.2474201494,39.9735688007
111,17027,-89.4224914073,38.6064440504
112,17043,-88.0856334886,41.8519470476
113,17109,-90.6779099973,40.4561954057
114,17125,-89.9167727316,40.2396559316
115,17153,-89.1265824643,37.2228826037
116,18003,-85.066565358,41.0908704695
117,18051,-87.5845918218,38.3118859459
118,18061,-86.1114770613,38.1952591027
119,18071,-86.03752852,38.9064194977
120,18103,-86.0450406731,40.769458135
121,18123,-86.6380295423,38.0796465097
122,18131,-86.6987874109,41.0418551252
123,18179,-85.2211940026,40.7291890733
124,19029,-94.9278284468,41.3315100966
125,48175,-97.4264472952,28.6570857746
126,48185,-95.9855120998,30.5434808463
127,48215,-98.1812044886,26.3968828655
128,48225,-95.422679518,31.317733854
129,48235,-100.982390101,31.3039143392
130,48273,-97.7272829853,27.4337065375
131,48277,-95.5711969078,33.6672503425
132,48317,-101.951272266,32.3059910889
133,48351,-93.744795481,30.7862538728
134,48361,-93.8938881178,30.1213046384
135,48379,-95.7933895664,32.8703503957
136,48395,-96.512802424,31.0270373852
137,48409,-97.5186897264,28.0091457698
138,48423,-95.2691735657,32.3750399034
