,0,1,2,3,4,5,6,7,8,9
0,3,579,2,576,581,574,589,586,1,588
1,586,2,581,399,417,3,409,582,424,413
2,3,581,586,1,579,576,0,589,574,417
3,2,579,581,0,576,586,1,589,574,417
4,22,19,23,16,11,25,20,403,401,18
5,305,12,6,303,425,19,11,408,419,304
6,425,5,12,303,419,11,408,305,401,407
7,13,436,26,447,8,454,17,444,21,24
8,24,13,17,21,15,10,7,26,436,9
9,10,27,404,24,590,423,18,21,422,8
10,27,24,9,29,15,18,8,22,423,21
11,401,19,12,4,6,420,425,403,23,16
12,19,5,11,6,16,425,401,4,305,420
13,7,8,436,26,17,21,24,447,15,585
14,15,17,28,29,26,24,8,10,13,25
15,14,29,24,17,10,8,28,27,13,26
16,19,4,20,25,12,11,22,23,401,28
17,26,8,13,15,14,24,7,10,436,29
18,27,23,423,22,10,29,403,9,25,404
19,16,12,11,4,401,5,6,20,22,23
20,25,16,28,22,4,29,19,18,23,27
21,585,590,8,447,436,24,13,9,583,7
22,25,18,23,4,27,29,20,403,423,10
23,403,18,22,423,4,418,27,401,11,25
24,8,10,15,9,21,13,27,17,29,590
25,20,22,29,28,4,18,16,27,23,10
26,17,13,7,8,14,15,436,24,21,447
27,18,10,9,29,423,22,24,23,404,25
28,29,25,14,20,15,22,10,27,18,24
29,10,15,28,27,25,22,18,24,14,20
30,312,311,592,600,310,605,602,599,595,598
31,32,0,3,579,414,2,576,413,581,1
32,31,0,579,3,576,601,574,597,2,589
33,35,57,90,98,450,72,99,227,38,84
34,113,73,631,637,46,86,65,102,618,69
35,98,33,90,99,38,84,72,57,53,55
36,92,101,69,79,110,59,68,87,86,114
37,110,102,64,86,195,220,69,622,113,618
38,84,98,80,99,35,53,97,72,90,55
39,89,104,47,51,48,85,74,43,166,75
40,83,97,100,75,85,76,50,71,89,49
41,49,94,108,78,61,50,45,62,105,44
42,107,78,96,77,62,50,88,83,93,82
43,45,47,85,48,100,61,49,89,39,44
44,61,94,45,105,125,41,43,49,48,108
45,43,61,49,100,44,85,47,41,48,94
46,65,69,34,86,73,113,68,56,111,36
47,43,85,39,48,89,45,104,75,166,100
48,166,47,43,104,45,39,85,44,156,89
