,MAPE,MAE,RMSE,RSQUARED
LR_PREDS,12.717788670537528,3.6916009182275715,5.653820071815644,0.7003573304931787
FFILL_PREDS,17.91529116607941,4.200000000000003,7.498800318773651,0.47288755579654784
YR_MEAN_PREDS,19.31639440804822,5.910638297872339,8.59088374748838,0.30817639626305715
COUNTY_MEAN_PREDS,17.917506862164153,5.866981132075459,7.945044903858379,0.40828523936807615
EUC_IDW1_PREDS,14.01155154896066,4.379573141597199,6.420802906078713,0.6135454999158791
HAV_IDW1_PREDS,13.822370309841055,4.280467819513582,6.358312464925143,0.6210312284311748
EUC_IDW2_PREDS,9.249546426926738,2.6508063657648364,4.285223634159888,0.8278659948347692
HAV_IDW2_PREDS,9.095557401167843,2.5691392703472076,4.2174543179780075,0.833267422001557
K1_NEAREST_PRED,8.924507402905386,2.3000000000000043,4.013614079383699,0.8489951438711207
K5_NEAREST_PRED,6.9283983779363565,1.759999999999998,3.1269539085987144,0.9083436305886232
K5_WEIGHTED_PRED,6.818563186689515,1.727738365430369,3.041522523567241,0.9132834952199507
KRAD_MEAN_PRED,8.827925326162957,2.406521739130433,3.9386798474159956,0.8545810338191402
