fips_code,year_count
01001,40
01003,45
01005,44
01007,12
01009,41
01011,29
01013,37
01015,40
01017,11
01019,46
01021,23
01023,25
01025,25
01027,17
01029,24
01031,43
01033,46
01035,44
01037,10
01039,41
01041,35
01043,46
01045,45
01047,43
01049,47
01051,44
01053,45
01055,43
01057,45
01059,33
01061,40
01063,33
01065,37
01067,43
01069,43
01071,46
01073,13
01075,39
01077,47
01079,47
01081,24
01083,47
01085,32
01087,33
01089,47
01091,35
01093,35
01095,44
01097,34
01099,43
01101,32
01103,44
01105,36
01107,33
01109,46
01111,39
01113,35
01115,15
01117,29
01119,36
01121,44
01123,18
01125,46
01127,21
01129,42
01131,35
01133,25
04001,12
04003,38
04005,16
04007,4
04009,35
04011,13
04012,11
04013,34
04015,2
04017,12
04019,6
04021,29
04023,7
04025,18
04027,24
05001,35
05003,34
05005,9
05007,23
05009,12
05011,10
05013,17
05015,8
05017,44
05019,23
05021,47
05023,16
05025,10
05027,10
05029,41
05031,47
05033,25
05035,39
05037,32
05039,9
05041,43
05043,30
05045,22
05047,11
05049,8
05051,8
05053,8
05055,47
05057,18
05059,13
05061,11
05063,35
05065,10
05067,47
05069,43
05071,19
05073,38
05075,27
05077,38
05079,33
05081,28
05083,25
05085,38
05087,13
05089,11
05091,37
05093,46
05095,38
05097,10
05099,18
05101,8
05103,16
05105,12
05107,39
05109,8
05111,42
05113,8
05115,24
05117,42
05119,18
05121,44
05123,33
05125,9
05127,11
05129,9
05131,10
05133,8
05135,8
05137,8
05139,8
05141,9
05143,13
05145,38
05147,45
05149,32
06001,14
06005,26
06007,38
06009,1
06011,42
06013,37
06017,1
06019,41
06021,46
06023,7
06025,27
06029,41
06031,42
06033,8
06035,9
06037,1
06039,38
06045,9
06047,43
06049,2
06053,24
06059,1
06061,21
06065,33
06067,47
06069,9
06071,16
06073,4
06077,46
06079,14
06081,2
06083,9
06085,8
06089,5
06093,5
06095,47
06097,14
06099,41
06101,45
06103,38
06107,41
06111,2
06113,46
06115,37
08001,46
08003,3
08005,28
08007,3
08009,42
08011,43
08013,41
08015,1
08017,46
08021,5
08023,3
08025,35
08027,1
08029,40
08033,12
08035,8
08037,2
08039,26
08041,24
08043,13
08045,19
08051,9
08055,13
08059,8
08061,41
08063,46
08067,21
08069,45
08071,33
08073,42
08075,46
08077,39
08081,6
08083,21
08085,39
08087,44
08089,44
08095,46
08097,1
08099,42
08101,42
08103,8
08105,4
08107,4
08109,6
08113,1
08115,45
08119,1
08121,43
08123,47
08125,47
10001,47
10003,47
10005,47
12001,36
12003,15
12005,12
12007,16
12013,28
12023,37
12029,18
12031,15
12033,40
12035,7
12039,40
12041,36
12047,38
12059,40
12063,40
12065,38
12067,26
12069,14
12073,33
12075,36
12077,12
12079,39
12081,2
12083,22
12089,16
12091,40
12095,8
12107,22
12109,21
12113,36
12119,8
12121,39
12123,16
12125,23
12127,8
12129,12
12131,40
12133,40
13001,45
13003,45
13005,41
13007,47
13009,23
13011,23
13013,21
13015,43
13017,43
13019,43
13021,23
13023,43
13025,43
13027,43
13029,38
13031,42
13033,47
13035,23
13037,47
13039,18
13043,40
13045,25
13047,31
13049,25
13051,22
13053,6
13055,45
13057,20
13059,15
13061,39
13063,19
13065,35
13067,9
13069,47
13071,45
13073,22
13075,46
13077,26
13079,23
13081,42
13083,23
13085,31
13087,46
13089,10
13091,45
13093,42
13095,40
13097,13
13099,43
13101,35
13103,43
13105,22
13107,46
13109,43
13111,26
13113,19
13115,45
13117,23
13119,26
13121,22
13123,31
13125,25
13127,10
13129,45
13131,46
13133,20
13135,20
13137,24
13139,39
13141,22
13143,28
13145,20
13147,43
13149,23
13151,23
13153,40
13155,46
13157,21
13159,24
13161,44
13163,46
13165,45
13167,43
13169,22
13171,31
13173,43
13175,43
13177,38
13179,22
13181,16
13183,37
13185,43
13187,29
13189,31
13191,10
13193,46
13195,22
13197,46
13199,25
13201,46
13205,45
13207,25
13209,39
13211,29
13213,36
13215,10
13217,24
13219,18
13221,24
13223,17
13225,37
13227,20
13229,44
13231,22
13233,41
13235,41
13237,19
13239,25
13241,23
13243,43
13245,30
13247,14
13249,36
13251,47
13253,47
13255,18
13257,20
13259,37
13261,44
13263,17
13265,16
13267,46
13269,39
13271,39
13273,45
13275,44
13277,44
13279,45
13281,23
13283,32
13285,20
13287,45
13289,33
13291,37
13293,20
13295,39
13297,22
13299,46
13301,24
13303,44
13305,43
13307,38
13309,37
13311,43
13313,34
13315,44
13317,20
13319,28
13321,47
16001,38
16011,18
16019,17
16027,39
16031,32
16039,36
16041,31
16043,1
16045,38
16047,37
16051,13
16053,38
16063,36
16067,27
16071,1
16073,39
16075,39
16077,4
16083,36
16087,34
17001,47
17003,44
17005,45
17007,46
17009,47
17011,47
17013,45
17015,47
17017,47
17019,47
17021,47
17023,45
17025,46
17027,47
17029,46
17031,41
17033,46
17035,47
17037,47
17039,46
17041,47
17043,39
17045,47
17047,45
17049,47
17051,47
17053,47
17055,47
17057,47
17059,47
17061,47
17063,47
17065,45
17067,47
17069,39
17071,47
17073,47
17075,47
17077,46
17079,47
17081,46
17083,47
17085,47
17087,45
17089,47
17091,47
17093,45
17095,47
17097,44
17099,47
17101,44
17103,47
17105,47
17107,47
17109,47
17111,47
17113,47
17115,47
17117,47
17119,47
17121,47
17123,47
17125,47
17127,46
17129,46
17131,47
17133,47
17135,47
17137,47
17139,47
17141,47
17143,47
17145,47
17147,47
17149,47
17151,42
17153,47
17155,46
17157,46
17159,47
17161,46
17163,47
17165,47
17167,47
17169,47
17171,47
17173,47
17175,47
17177,47
17179,47
17181,46
17183,47
17185,47
17187,47
17189,47
17191,45
17193,47
17195,47
17197,46
17199,47
17201,47
17203,47
18001,47
18003,47
18005,47
18007,47
18009,47
18011,47
18013,31
18015,47
18017,47
18019,47
18021,46
18023,47
18025,29
18027,47
18029,47
18031,47
18033,46
18035,47
18037,47
18039,46
18041,47
18043,35
18045,47
18047,47
18049,47
18051,46
18053,44
18055,44
18057,47
18059,47
18061,47
18063,47
18065,46
18067,46
18069,46
18071,47
18073,47
18075,46
18077,43
18079,47
18081,47
18083,46
18085,47
18087,47
18089,47
18091,47
18093,46
18095,47
18097,43
18099,47
18101,46
18103,47
18105,47
18107,47
18109,47
18111,47
18113,47
18115,32
18117,47
18119,46
18121,46
18123,43
18125,45
18127,47
18129,47
18131,47
18133,46
18135,47
18137,47
18139,47
18141,47
18143,47
18145,47
18147,47
18149,47
18151,45
18153,45
18155,34
18157,46
18159,47
18161,47
18163,47
18165,47
18167,45
18169,46
18171,47
18173,47
18175,47
18177,47
18179,45
18181,47
18183,47
19001,47
19003,47
19005,47
19007,47
19009,47
19011,47
19013,47
19015,47
19017,47
19019,47
19021,47
19023,47
19025,47
19027,47
19029,47
19031,47
19033,47
19035,47
19037,47
19039,47
19041,47
19043,47
19045,47
19047,47
19049,47
19051,47
19053,47
19055,47
19057,47
19059,47
19061,47
19063,47
19065,47
19067,47
19069,47
19071,47
19073,47
19075,47
19077,47
19079,47
19081,47
19083,47
19085,47
19087,47
19089,47
19091,47
19093,47
19095,47
19097,47
19099,47
19101,47
19103,47
19105,47
19107,47
19109,47
19111,47
19113,47
19115,47
19117,47
19119,47
19121,47
19123,47
